row_id	manifest_index	file	symbol_lines	change_type	cluster_id	req_ids	classification	classification_signal	test_evidence	notes
LH0065	043	beacon_node/execution_layer/src/eip8025/mod.rs	module doc + submodule decls + re-exports	added	C4	NONE	LH-arch-choice	New execution_layer eip8025 module re-exporting HttpProofEngine, ProofNodeClient, ProofType and proof event types [raw:lh-files/043.diff]	NONE	Module doc states it does not act as an execution engine and does not gate fork choice, applying proof-backed payload promotion only when explicitly configured [raw:lh-files/043.diff]
LH0066	044	beacon_node/execution_layer/src/eip8025/proof_engine.rs	struct HttpProofEngine (verify_execution_proof, get_proof, request_proofs, request_proofs_ssz, subscribe_proof_events)	added	C4	NONE	LH-arch-choice	Proof-engine transport facade delegating verify/request/get/subscribe to a boxed ProofNodeClient [raw:lh-files/044.diff]	NONE	Provides the proof-generating (request_proofs) and proof-verifying (verify_execution_proof) transport, but the HTTP-to-proof-node mechanism is an implementation choice [raw:lh-files/044.diff]
LH0067	045	beacon_node/execution_layer/src/eip8025/proof_node_client.rs	trait ProofNodeClient + HttpProofNodeClient impl; endpoint consts; SSE stream	added	C4	NONE	LH-arch-choice	HTTP proof-node client with paths /v1/execution_proof_requests|_verifications|_proofs, PROOF_ENGINE_TIMEOUT=1s default, and an EventSource-based proof-event stream [raw:lh-files/045.diff]	[raw:lh-files/054.diff]	Concrete HTTP transport for the proof node; endpoint paths and 1s default timeout are implementation values [raw:lh-files/045.diff]
LH0068	046	beacon_node/execution_layer/src/eip8025/types.rs	enum ProofType, ProofTypes default, ProofEvent/ProofComplete/ProofFailure, FailureReason, SseEventParts	added	C4	NONE	LH-arch-choice	Proof-type registry ethrex-risc0..reth-zisk = 0..6, default ProofTypes {EthrexRisc0, EthrexSP1, EthrexZisk, RethOpenVM}, and SSE proof_complete/proof_failure event types [raw:lh-files/046.diff]	[raw:lh-files/046.diff]	Specific vendor proof-type identifiers and defaults are proof-node convention, not spec-mandated [raw:lh-files/046.diff]
LH0069	046	beacon_node/execution_layer/src/eip8025/types.rs	mod tests (proof_type_parses_string_names/numeric_ids, rejects_unknown names/numeric_ids)	added	C10	NONE	LH-arch-choice	Unit tests for ProofType FromStr parsing of names and numeric ids and rejection of unknowns [raw:lh-files/046.diff]	[raw:lh-files/046.diff]	Test coverage for ProofType parsing [raw:lh-files/046.diff]
LH0070	047	beacon_node/execution_layer/src/engine_api.rs	EngineCapabilities.get_blobs_v1 field + to_response entry removed	modified	C5	NONE	LH-arch-choice	Removes the get_blobs_v1 capability field and the ENGINE_GET_BLOBS_V1 push from EngineCapabilities.to_response [raw:lh-files/047.diff]	NONE	Upstream base-branch drift (engine_getBlobsV1 removal), not EIP-8025 proof work [raw:lh-files/047.diff]
LH0071	048	beacon_node/execution_layer/src/engine_api/http.rs	ENGINE_GET_BLOBS_V1 const, LIGHTHOUSE_CAPABILITIES entry, get_blobs_v1 method removed	modified	C5	NONE	LH-arch-choice	Deletes the ENGINE_GET_BLOBS_V1 engine_getBlobsV1 const, its capabilities-list entry and the get_blobs_v1 RPC method [raw:lh-files/048.diff]	NONE	Upstream base-branch drift (getBlobsV1 removal), not EIP-8025 proof work [raw:lh-files/048.diff]
LH0072	049	beacon_node/execution_layer/src/engine_api/new_payload_request.rs	SszEncode/TreeHash derives on NewPayloadRequest; fn request_root; versioned_hashes retyped to VariableList; TryFrom try_into	modified	C1	NONE	LH-arch-choice	Adds SszEncode/TreeHash derives and request_root()=tree_hash_root() to NewPayloadRequest and retypes versioned_hashes from Vec to VariableList so the request is SSZ/TreeHash-derivable [raw:lh-files/049.diff]	NONE	request_root binds a proof to its engine_newPayload request (the new_payload_request_root); the SSZ encoding of NewPayloadRequest is an LH implementation mechanism, not spec-mandated [raw:lh-files/049.diff]
LH0073	050	beacon_node/execution_layer/src/lib.rs	pub mod eip8025; Config/Inner proof_engine+proof_types; from_config proof-engine construction; engine made Option; proof_engine()/proof_types()/engine() accessors; None-handling across ExecutionLayer; Error NoExecutionEndpoint/ProofEngineError	modified	C5	NONE	LH-arch-choice	Wires an optional HttpProofEngine and proof_types into ExecutionLayer and makes engine an Option so a proof-verifying-only node runs without an execution endpoint [raw:lh-files/050.diff]	NONE	Proof-engine integration and EL-optional refactor; from_config includes a test-mock branch (parse_mock_index/get_mock_proof_engine) wired into the production constructor [raw:lh-files/050.diff]
LH0074	050	beacon_node/execution_layer/src/lib.rs	BlobAndProofV1 import + get_blobs_v1 method removed	modified	C6	NONE	LH-arch-choice	Deletes the get_blobs_v1 ExecutionLayer wrapper and the BlobAndProofV1 import [raw:lh-files/050.diff]	NONE	Upstream base-branch drift (getBlobsV1 removal), not EIP-8025 proof work [raw:lh-files/050.diff]
LH0075	051	beacon_node/execution_layer/src/test_utils/execution_block_generator.rs	gloas genesis safe/finalized block-hash assertion guard	modified	C10	NONE	LH-arch-choice	Changes the non-zero safe/finalized block-hash assertion guard from head-block gloas_enabled() to Gloas enabled at genesis via get_fork_at_timestamp(0) [raw:lh-files/051.diff]	NONE	Upstream base-branch drift (mock-EL gloas forkchoice assertion), not EIP-8025 proof work [raw:lh-files/051.diff]
LH0076	052	beacon_node/execution_layer/src/test_utils/handle_rpc.rs	ENGINE_GET_BLOBS_V1 mock handler removed	modified	C10	NONE	LH-arch-choice	Deletes the mock ENGINE_GET_BLOBS_V1 RPC branch returning BlobAndProofV1 [raw:lh-files/052.diff]	NONE	Upstream base-branch drift (getBlobsV1 mock handler removal), not EIP-8025 proof work [raw:lh-files/052.diff]
LH0077	053	beacon_node/execution_layer/src/test_utils/mock_event_stream.rs	struct MockEventStream + collect_n + expect_proof_requests/verified/fetched	added	C10	NONE	LH-arch-choice	Test helper wrapping broadcast::Receiver<MockClientEvent> with collect_n and expect_proof_requests/verified/fetched assertions [raw:lh-files/053.diff]	[raw:lh-files/053.diff]	Test-observability harness for execution-proof integration tests [raw:lh-files/053.diff]
LH0078	054	beacon_node/execution_layer/src/test_utils/mock_proof_node_client.rs	MockProofNodeClient impl ProofNodeClient; OwnedNewPayloadRequest; MockClientEvent; MOCK_REGISTRY; register/get_mock_proof_engine; parse_mock_index; make_test_fulu_ssz	added	C10	NONE	LH-arch-choice	In-memory MockProofNodeClient whose verify_proof always returns Valid, plus an OwnedNewPayloadRequest owned SSZ mirror used to decode request bodies and compute tree_hash_root [raw:lh-files/054.diff]	[raw:lh-files/054.diff]	Mock stubs verification as always-Valid; its parse_mock_index/register helpers are consumed by the production ExecutionLayer::from_config [raw:lh-files/050.diff]
LH0079	055	beacon_node/execution_layer/src/test_utils/mod.rs	mock_event_stream + mock_proof_node_client module decls + re-exports	modified	C10	NONE	LH-arch-choice	Declares and re-exports MockEventStream, MockProofNodeClient, OwnedNewPayloadRequest, register/get_mock_proof_engine, parse_mock_index and make_test_fulu_ssz [raw:lh-files/055.diff]	NONE	Test-util wiring for the proof-engine mocks [raw:lh-files/055.diff]
LH0080	055	beacon_node/execution_layer/src/test_utils/mod.rs	DEFAULT_ENGINE_CAPABILITIES.get_blobs_v1 removed	modified	C10	NONE	LH-arch-choice	Drops get_blobs_v1: true from DEFAULT_ENGINE_CAPABILITIES [raw:lh-files/055.diff]	NONE	Upstream base-branch drift (getBlobsV1 removal), not EIP-8025 proof work [raw:lh-files/055.diff]
LH0081	056	beacon_node/http_api/src/beacon/execution_payload_bid.rs	post_beacon_execution_payload_bid + _ssz + publish_execution_payload_bid	added	C2	NONE	LH-arch-choice	New POST /eth/v1/beacon/execution_payload_bid (JSON+SSZ) gating on is_gloas_scheduled, gossip-verifying via verify_payload_bid_for_gossip and publishing PubsubMessage::ExecutionPayloadBid [raw:lh-files/056.diff]	[raw:lh-files/064.diff]	Upstream base-branch drift (gloas ePBS payload-bid publish endpoint), not EIP-8025 proof work [raw:lh-files/056.diff]
LH0082	057	beacon_node/http_api/src/beacon/execution_payload_envelope.rs	SSZ content-type exact-header filter removed on envelope POST	modified	C2	NONE	LH-arch-choice	Removes the warp::header::exact(CONTENT_TYPE_HEADER, SSZ_CONTENT_TYPE_HEADER) filter from post_beacon_execution_payload_envelope_ssz [raw:lh-files/057.diff]	NONE	Upstream base-branch drift (gloas envelope endpoint content-type relaxation), not EIP-8025 proof work [raw:lh-files/057.diff]
LH0083	058	beacon_node/http_api/src/beacon/mod.rs	pub mod execution_payload_bid	modified	C2	NONE	LH-arch-choice	Registers the execution_payload_bid module in beacon/mod.rs [raw:lh-files/058.diff]	NONE	Upstream base-branch drift (gloas ePBS module registration), not EIP-8025 proof work [raw:lh-files/058.diff]
LH0084	059	beacon_node/http_api/src/beacon/pool.rs	post_beacon_pool_execution_proofs + SubmitExecutionProofsRequest/Response/Status	modified	C2	NONE	LH-arch-choice	New POST beacon/pool/execution_proofs verifying each proof via chain.verify_and_observe_execution_proof and publishing Valid/Accepted proofs as PubsubMessage::ExecutionProof, gated on a configured proof_engine() [raw:lh-files/059.diff]	NONE	EIP-8025 proof submission API; it delegates the gossip IGNORE/REJECT validation to verify_and_observe_execution_proof, but the HTTP endpoint itself is an implementation choice [raw:lh-files/059.diff]
LH0085	060	beacon_node/http_api/src/block_id.rs	blob_sidecar_list index filtering refactor	modified	C-unassigned	NONE	LH-arch-choice	Reorders the blobs-by-id path to collect then filter_map by index and build BlobSidecarList once after filtering instead of inside the indices branch [raw:lh-files/060.diff]	NONE	Blob-sidecar retrieval refactor in the blobs API, not EIP-8025 proof work [raw:lh-files/060.diff]
LH0086	061	beacon_node/http_api/src/lib.rs	post_beacon_pool_execution_proofs serve route + prometheus_metrics path	modified	C2	NONE	LH-arch-choice	Registers post_beacon_pool_execution_proofs in serve() and adds the v1/beacon/pool/execution_proofs prometheus metrics path [raw:lh-files/061.diff]	NONE	Route wiring for the EIP-8025 proof submission endpoint [raw:lh-files/059.diff]
LH0087	061	beacon_node/http_api/src/lib.rs	post_beacon_execution_payload_bid + _ssz serve routes	modified	C2	NONE	LH-arch-choice	Registers post_beacon_execution_payload_bid and post_beacon_execution_payload_bid_ssz in serve() [raw:lh-files/061.diff]	NONE	Upstream base-branch drift (gloas ePBS route wiring), not EIP-8025 proof work [raw:lh-files/061.diff]
LH0088	062	beacon_node/http_api/src/publish_blocks.rs	blob-sidecar publish path, build_gossip_verified_blobs, publish_blob_sidecars removed; spawn_build_data_sidecar_task builds columns only	modified	C6	NONE	LH-arch-choice	Deletes the pre-PeerDAS blob branch (build_gossip_verified_blobs/publish_blob_sidecars) so publish_block waits on and builds only data columns [raw:lh-files/062.diff]	NONE	Upstream base-branch drift (PeerDAS blob to data-column publish path), not EIP-8025 proof work [raw:lh-files/062.diff]
LH0089	063	beacon_node/http_api/tests/broadcast_validation_tests.rs	blob->column test migration (renames, fulu_enabled guards, process_gossip_columns)	modified	C10	NONE	LH-arch-choice	Renames blobs_or_columns tests to columns, switches guards from deneb_enabled() to fulu_enabled() and replaces process_gossip_blobs_or_columns with process_gossip_columns [raw:lh-files/063.diff]	NONE	Upstream base-branch drift (PeerDAS blob to data-column test migration), not EIP-8025 proof work [raw:lh-files/063.diff]
LH0090	064	beacon_node/http_api/tests/tests.rs	make_signed_execution_payload_bid + test_post_beacon_execution_payload_bid_json/_ssz + post_beacon_execution_payload_bid	modified	C10	NONE	LH-arch-choice	Adds execution-payload-bid API tests asserting a structurally valid JSON/SSZ bid reaches and is rejected by gossip verification [raw:lh-files/064.diff]	NONE	Upstream base-branch drift (gloas ePBS endpoint tests), not EIP-8025 proof work [raw:lh-files/064.diff]
LH0091	064	beacon_node/http_api/tests/tests.rs	blob_data_available assertion + test_payload_attestation_unavailable_without_envelope + payload_attestation_unavailable_without_envelope	modified	C10	NONE	LH-arch-choice	Adds a blob_data_available assertion and a test that payload attestation data reports payload_present=false and blob_data_available=false when the envelope is withheld [raw:lh-files/064.diff]	NONE	Upstream base-branch drift (gloas payload-attestation availability tests), not EIP-8025 proof work [raw:lh-files/064.diff]
LH0092	064	beacon_node/http_api/tests/tests.rs	get_blob_sidecars ApiTesterConfig change (Supernode + electra/fulu fork epochs)	modified	C10	NONE	LH-arch-choice	Rebuilds ApiTesterConfig with node_custody_type Supernode and enables electra/fulu fork epochs in get_blob_sidecars [raw:lh-files/064.diff]	NONE	Upstream base-branch drift (PeerDAS/fulu blob-sidecar test config), not EIP-8025 proof work [raw:lh-files/064.diff]
LH0093	065	beacon_node/lighthouse_network/src/config.rs	Config.enable_execution_proof field + Default	modified	C7	NONE	LH-arch-choice	Adds enable_execution_proof (Default false) gating the optional EIP-8025 execution-proof gossip/RPC protocols [raw:lh-files/065.diff]	NONE	Opt-in network config flag for the EIP-8025 proof gossip/RPC protocols; default-off keeps the protocols disabled [raw:lh-files/065.diff]
LH0094	065	beacon_node/lighthouse_network/src/config.rs	Config.enable_mplex field + Default	modified	C7	NONE	LH-arch-choice	Adds enable_mplex (Default false) for the deprecated mplex multiplexer alongside yamux [raw:lh-files/065.diff]	NONE	Not EIP-8025 proof work (deprecated mplex multiplexer flag), unrelated upstream config addition [raw:lh-files/065.diff]
LH0095	066	beacon_node/lighthouse_network/src/discovery/enr.rs	EXECUTION_PROOF_ENR_KEY + execution_proof_enabled + build_enr advertise + compare_enr	modified	C2	NONE	LH-arch-choice	Adds ENR field eproof (EXECUTION_PROOF_ENR_KEY) advertised when config.enable_execution_proof, with the execution_proof_enabled() accessor and compare_enr check [raw:lh-files/066.diff]	NONE	ENR-based discovery advertisement of optional execution-proof support; implementation mechanism, not a spec-mandated field [raw:lh-files/066.diff]
LH0096	067	beacon_node/lighthouse_network/src/peer_manager/mod.rs	rpc-error PeerAction match arms for ExecutionProofsByRange/ByRoot/Status	modified	C3	NONE	LH-arch-choice	Adds ExecutionProofsByRange/ByRoot and ExecutionProofStatus to the RPC error and rate-limited PeerAction match arms (MidToleranceError / return) [raw:lh-files/067.diff]	NONE	Peer-scoring wiring for the EIP-8025 req/resp proof protocols [raw:lh-files/067.diff]
LH0097	068	beacon_node/lighthouse_network/src/peer_manager/peerdb.rs	__add_connected_peer_with_custody_subnets / __add_connected_peer / __set_custody_subnets refactor	modified	C10	NONE	LH-arch-choice	Splits __add_connected_peer_testing_only into __add_connected_peer plus __add_connected_peer_with_custody_subnets and __set_custody_subnets, all marked MUST ONLY BE USED IN TESTS [raw:lh-files/068.diff]	NONE	Test-only PeerDB custody-subnet helper refactor (PeerDAS custody), not EIP-8025 proof work [raw:lh-files/068.diff]
LH0098	069	beacon_node/lighthouse_network/src/rpc/codec.rs	handle_rpc_request/response + encoder arms for ExecutionProofsByRange/ByRoot/Status	modified	C3	NONE	LH-arch-choice	Adds SSZ-snappy encode/decode arms for ExecutionProofsByRange/ByRoot (SignedExecutionProof per chunk) and ExecutionProofStatus [raw:lh-files/069.diff]	[raw:lh-files/069.diff]	Req/resp codec encode/decode plumbing for the execution-proof protocols [raw:lh-files/069.diff]
LH0099	069	beacon_node/lighthouse_network/src/rpc/codec.rs	mod tests: eprange_request/eproot_request/epstatus_request + roundtrip	modified	C10	NONE	LH-arch-choice	Adds SSZ round-trip test coverage for the ExecutionProofsByRange/ByRoot requests and ExecutionProofStatus [raw:lh-files/069.diff]	[raw:lh-files/069.diff]	Test coverage for the execution-proof req/resp codec [raw:lh-files/069.diff]
LH0100	070	beacon_node/lighthouse_network/src/rpc/config.rs	RateLimiterConfig execution_proofs_by_range/root + status quotas + FromStr parsing	modified	C3	NONE	LH-arch-choice	Adds default 128-every-10s rate-limit quotas and FromStr parsing for ExecutionProofsByRange/ByRoot and ExecutionProofStatus [raw:lh-files/070.diff]	NONE	Req/resp rate-limit configuration for the proof protocols; the 128/10s default is an implementation value [raw:lh-files/070.diff]
LH0101	071	beacon_node/lighthouse_network/src/rpc/methods.rs	ExecutionProofStatus + ExecutionProofsByRange/ByRoot request structs (SSZ encode/decode, len bounds, max_requested)	modified	C3	NONE	LH-arch-choice	Defines the ExecutionProofStatus, ExecutionProofsByRangeRequest and ExecutionProofsByRootRequest req/resp containers with SSZ encode/decode, length bounds and max_requested=count*MaxExecutionProofsPerPayload [raw:lh-files/071.diff]	[raw:lh-files/069.diff]	Req/resp message-type definitions realizing the proof protocols; the count bound and SSZ-container encoding are the wire schema of one reference client [raw:lh-files/071.diff]
LH0102	071	beacon_node/lighthouse_network/src/rpc/methods.rs	RpcSuccessResponse + ResponseTermination EP variants + Display	modified	C3	NONE	LH-arch-choice	Adds ExecutionProofsByRange/ByRoot/Status variants to RpcSuccessResponse and ResponseTermination with Display and protocol/slot accessors [raw:lh-files/071.diff]	NONE	Response-enum wiring for the proof protocols [raw:lh-files/071.diff]
LH0103	072	beacon_node/lighthouse_network/src/rpc/mod.rs	RPC struct/new enable_execution_proof field + RPCProtocol wiring	modified	C3	NONE	LH-arch-choice	Threads enable_execution_proof through RPC::new and into RPCProtocol for inbound/outbound upgrades [raw:lh-files/072.diff]	NONE	Gating wiring so the proof req/resp protocols are offered only when enabled [raw:lh-files/072.diff]
LH0104	073	beacon_node/lighthouse_network/src/rpc/protocol.rs	Protocol/SupportedProtocol EP variants + SIGNED_EXECUTION_PROOF_MIN/MAX_SIZE + RpcLimits + supported_protocols gating	modified	C3	NONE	LH-arch-choice	Registers execution_proofs_by_range/root and execution_proof_status protocol ids (V1), their RpcLimits derived from MaxProofSize/MaxExecutionProofsPerPayload, offered only when enable_execution_proof [raw:lh-files/073.diff]	NONE	Req/resp protocol registration and size limits for the proof protocols [raw:lh-files/073.diff]
LH0105	074	beacon_node/lighthouse_network/src/rpc/rate_limiter.rs	proofrange_rl/proofroots_rl/proofstatus_rl limiters + builder + prune	modified	C3	NONE	LH-arch-choice	Adds per-protocol rate limiters for ExecutionProofsByRange/ByRoot/Status wired through the builder, set_quota and prune [raw:lh-files/074.diff]	NONE	Req/resp rate-limiter plumbing for the proof protocols [raw:lh-files/074.diff]
LH0106	075	beacon_node/lighthouse_network/src/service/api_types.rs	ExecutionProofs* request-ids + Response EP variants + From<Response> + impl_display	modified	C3	NONE	LH-arch-choice	Adds SyncRequestId and Response variants plus request-id types for the three execution-proof protocols with RpcResponse conversion and Display [raw:lh-files/075.diff]	NONE	Service-layer response and request-id wiring for the proof protocols [raw:lh-files/075.diff]
LH0107	075	beacon_node/lighthouse_network/src/service/api_types.rs	removal of SyncRequestId::SingleBlob	modified	C9	NONE	LH-arch-choice	Removes the SingleBlob SyncRequestId variant [raw:lh-files/075.diff]	NONE	Appears upstream base-branch drift (PeerDAS blob-lookup removal), not EIP-8025 proof work [raw:lh-files/075.diff]
LH0108	076	beacon_node/lighthouse_network/src/service/gossip_cache.rs	GossipKind::ExecutionProof => None	modified	C2	NONE	LH-arch-choice	Maps GossipKind::ExecutionProof to no gossip-cache rebroadcast timeout (None) [raw:lh-files/076.diff]	NONE	Execution-proof gossip messages are not retried from the gossip cache; implementation choice [raw:lh-files/076.diff]
LH0109	076	beacon_node/lighthouse_network/src/service/gossip_cache.rs	removal of blob_sidecar timeout field/builder/insert arm	modified	C2	NONE	LH-arch-choice	Removes the blob_sidecar gossip-cache timeout field, builder and BlobSidecar insert arm [raw:lh-files/076.diff]	NONE	Appears upstream base-branch drift (blob-gossip removal), not EIP-8025 proof work [raw:lh-files/076.diff]
LH0110	077	beacon_node/lighthouse_network/src/service/mod.rs	RPC::new enable_execution_proof arg + EP RequestReceived metrics + build_response + stream termination	modified	C3	NONE	LH-arch-choice	Passes config.enable_execution_proof to RPC::new and routes ExecutionProofsByRange/ByRoot/Status requests, responses and stream terminations through the network service [raw:lh-files/077.diff]	NONE	Service-layer req/resp wiring for the proof protocols [raw:lh-files/077.diff]
LH0111	077	beacon_node/lighthouse_network/src/service/mod.rs	build_transport enable_mplex arg	modified	C2	NONE	LH-arch-choice	Passes config.enable_mplex to build_transport for yamux/mplex multiplexer selection [raw:lh-files/077.diff]	NONE	Mplex multiplexer wiring, not EIP-8025 proof work [raw:lh-files/077.diff]
LH0112	078	beacon_node/lighthouse_network/src/service/utils.rs	create_whitelist_filter add(ExecutionProof)	modified	C2	NONE	LH-arch-choice	Adds GossipKind::ExecutionProof to the gossipsub topic whitelist filter [raw:lh-files/078.diff]	NONE	Whitelists the execution_proof gossip topic [raw:lh-files/078.diff]
LH0113	078	beacon_node/lighthouse_network/src/service/utils.rs	build_transport enable_mplex yamux-only vs yamux+mplex refactor	modified	C2	NONE	LH-arch-choice	Refactors build_transport to select yamux-only or yamux+mplex based on enable_mplex [raw:lh-files/078.diff]	NONE	Mplex multiplexer transport option, not EIP-8025 proof work [raw:lh-files/078.diff]
LH0114	078	beacon_node/lighthouse_network/src/service/utils.rs	removal of per-blob-subnet whitelist adds	modified	C2	NONE	LH-arch-choice	Removes the per-blob-subnet BlobSidecar entries from the gossipsub whitelist filter [raw:lh-files/078.diff]	NONE	Appears upstream base-branch drift (blob-subnet removal), not EIP-8025 proof work [raw:lh-files/078.diff]
LH0115	079	beacon_node/lighthouse_network/src/types/globals.rs	as_topic_config enable_execution_proof	modified	C2	NONE	LH-arch-choice	Propagates config.enable_execution_proof into TopicConfig via as_topic_config [raw:lh-files/079.diff]	NONE	Topic-config wiring for the execution_proof gossip topic [raw:lh-files/079.diff]
LH0116	080	beacon_node/lighthouse_network/src/types/pubsub.rs	PubsubMessage::ExecutionProof variant + kind + decode/encode + Display	modified	C2	NONE	LH-arch-choice	Adds PubsubMessage::ExecutionProof(SignedExecutionProof) with SSZ decode/encode on the execution_proof topic and Display [raw:lh-files/080.diff]	NONE	Gossip message plumbing for the execution_proof topic; decoding only deserializes SignedExecutionProof, validation lives in process_gossip_execution_proof [raw:lh-files/080.diff]
LH0117	080	beacon_node/lighthouse_network/src/types/pubsub.rs	removal of PubsubMessage::BlobSidecar variant + decode/encode/Display	modified	C2	NONE	LH-arch-choice	Removes the BlobSidecar PubsubMessage variant and its decode, encode and Display arms [raw:lh-files/080.diff]	NONE	Appears upstream base-branch drift (blob-gossip removal), not EIP-8025 proof work [raw:lh-files/080.diff]
LH0118	081	beacon_node/lighthouse_network/src/types/topics.rs	EXECUTION_PROOF_TOPIC + GossipKind::ExecutionProof + TopicConfig.enable_execution_proof + core_topics push + parsing/Display	modified	C2	NONE	LH-arch-choice	Registers the execution_proof gossip topic (GossipKind::ExecutionProof), subscribed when enable_execution_proof, with topic parsing and Display [raw:lh-files/081.diff]	NONE	Gossip topic registration; the topic string execution_proof matches the spec-named gossip topic but the registration itself is implementation wiring [raw:lh-files/081.diff]
LH0119	081	beacon_node/lighthouse_network/src/types/topics.rs	removal of BLOB_SIDECAR_PREFIX/GossipKind::BlobSidecar + blob subscription + blobs_are_not_subscribed_in_peerdas test	modified	C2	NONE	LH-arch-choice	Removes BLOB_SIDECAR_PREFIX, GossipKind::BlobSidecar, the blob-subnet core-topic subscription and the blobs_are_not_subscribed_in_peerdas test [raw:lh-files/081.diff]	NONE	Appears upstream base-branch drift (blob-gossip topic removal), not EIP-8025 proof work [raw:lh-files/081.diff]
LH0120	082	beacon_node/network/src/lib.rs	pub use network_beacon_processor::NetworkBeaconProcessor	modified	C-unassigned	NONE	LH-arch-choice	Re-exports NetworkBeaconProcessor from the network crate root [raw:lh-files/082.diff]	NONE	Crate re-export exposing NetworkBeaconProcessor, supporting the now un-gated test/integration harness [raw:lh-files/085.diff]
LH0121	083	beacon_node/network/src/metrics.rs	removal of gossip-blob metrics (verified/delay/late)	modified	C2	NONE	LH-arch-choice	Removes the gossip-blob metrics BEACON_PROCESSOR_GOSSIP_BLOB_VERIFIED_TOTAL, BEACON_BLOB_DELAY_GOSSIP, BEACON_BLOB_DELAY_GOSSIP_VERIFICATION and BEACON_BLOB_GOSSIP_ARRIVED_LATE_TOTAL [raw:lh-files/083.diff]	NONE	Appears upstream base-branch drift (blob-gossip metrics removal), not EIP-8025 proof work [raw:lh-files/083.diff]
LH0122	084	beacon_node/network/src/network_beacon_processor/gossip_methods.rs	process_gossip_execution_proof + is_invalid_execution_proof_error	modified	C2	R011,R015,R016,R018	spec-driven	Maps verify_and_observe_execution_proof outcomes to gossip actions: Accept on Valid/Accepted, Ignore on Syncing when the payload request is not yet seen R011, Reject and penalize on Invalid engine result R018 and on InvalidSignature R015 or EmptyProofData R016 via is_invalid_execution_proof_error [raw:lh-files/084.diff]	NONE	PROV-SPEC gossip forward/reject decision from the provisional spec snapshot; the underlying checks are delegated to verify_and_observe_execution_proof (see LH0024, LH0029) [OPEN-Q1] [raw:lh-files/084.diff]
LH0123	084	beacon_node/network/src/network_beacon_processor/gossip_methods.rs	process_rpc_execution_proof	modified	C3	NONE	LH-arch-choice	Verifies RPC-received proofs via verify_and_observe_execution_proof and reports peers (LowToleranceError) on Invalid status or invalid-proof errors [raw:lh-files/084.diff]	NONE	RPC proof ingestion and peer-scoring; delegates validation to verify_and_observe_execution_proof [raw:lh-files/084.diff]
LH0124	084	beacon_node/network/src/network_beacon_processor/gossip_methods.rs	removal of process_gossip_blob / process_gossip_verified_blob	modified	C2	NONE	LH-arch-choice	Removes the blob gossip verification and processing path (process_gossip_blob, process_gossip_verified_blob and GossipBlobError handling) [raw:lh-files/084.diff]	NONE	Appears upstream base-branch drift (blob-gossip removal), not EIP-8025 proof work [raw:lh-files/084.diff]
LH0125	084	beacon_node/network/src/network_beacon_processor/gossip_methods.rs	data-column gossip reprocessing (allow_reprocess, UnknownBlockDataColumn, UnknownParentSidecarHeader)	modified	C6	NONE	LH-arch-choice	Adds allow_reprocess data-column reprocessing via ReprocessQueueMessage::UnknownBlockDataColumn and switches parent-unknown handling to SyncMessage::UnknownParentSidecarHeader [raw:lh-files/084.diff]	NONE	Appears upstream base-branch drift (PeerDAS data-column reprocessing and parent-lookup), not EIP-8025 proof work [raw:lh-files/084.diff]
LH0126	084	beacon_node/network/src/network_beacon_processor/gossip_methods.rs	process_gossip_proposer_slashing/attester_slashing return MessageAcceptance refactor	modified	C2	NONE	LH-arch-choice	Refactors the proposer/attester slashing gossip handlers to return MessageAcceptance, distinguishing Reject on a validation error from Ignore on a chain error [raw:lh-files/084.diff]	NONE	Appears upstream base-branch drift (gossip slashing validation-result refactor), not EIP-8025 proof work [raw:lh-files/084.diff]
LH0127	085	beacon_node/network/src/network_beacon_processor/mod.rs	send_gossip_execution_proof + send_rpc_execution_proof	modified	C2	NONE	LH-arch-choice	Spawns process_gossip_execution_proof and process_rpc_execution_proof via the task executor [raw:lh-files/085.diff]	NONE	Work-dispatch wrappers for gossip and RPC proof verification [raw:lh-files/085.diff]
LH0128	085	beacon_node/network/src/network_beacon_processor/mod.rs	send_execution_proofs_by_range_request + send_execution_proofs_by_root_request	modified	C3	NONE	LH-arch-choice	spawn_blocking dispatch to handle_execution_proofs_by_range_request and handle_execution_proofs_by_root_request serving handlers [raw:lh-files/085.diff]	NONE	Serving-dispatch wrappers for the ExecutionProofsByRange/ByRoot RPC; the serving handlers themselves live in rpc_methods (manifest index 086) [raw:lh-files/085.diff]
LH0129	085	beacon_node/network/src/network_beacon_processor/mod.rs	local_execution_proof_status	modified	C3	R035	spec-driven	Builds the ExecutionProofStatus reply {block_root, slot, proof_types} from the canonical head and configured proof types via latest_execution_proof_status, the responder local status required by R035 [raw:lh-files/085.diff]	NONE	PROV-SPEC local execution-proof status reply from the provisional spec snapshot; proof_types filtered to configured types relates to R032 [OPEN-Q1] [raw:lh-files/085.diff]
LH0130	085	beacon_node/network/src/network_beacon_processor/mod.rs	test-harness un-gating (TestBeaconChainType/null_for_testing) + null_from_harness	modified	C10	NONE	LH-arch-choice	Removes the #[cfg(test)] gate from TestBeaconChainType and the null_for_testing impl and adds null_from_harness for integration tests [raw:lh-files/085.diff]	NONE	Test-observability harness compiled into the crate for execution-proof integration tests [raw:lh-files/085.diff]
